Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
22.10512,0.1737833,0.8889932,0.3194539,-0.5472794,0.3537689,-0.2744065,0.7071307,5.960464e-08,0.0,0.0,0.0,0.0,-0.1185574,0.8714701,0.3681735,-0.42496,-0.1739361,0.3877071,0.7992737,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.14198,0.172715,0.8915374,0.3171886,-0.5488018,0.3528884,-0.277556,0.7051589,5.960464e-08,0.0,0.0,0.0,0.0,-0.1179819,0.8720497,0.3674621,-0.4235632,-0.1765569,0.392705,0.7969972,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.17223,0.1722454,0.8919376,0.3174796,-0.5500566,0.351423,-0.2806459,0.7036884,5.960464e-08,0.0,0.0,0.0,0.0,-0.117235,0.8724916,0.3667231,-0.422675,-0.1784002,0.397633,0.7946113,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.20086,0.1712145,0.8930811,0.3168675,-0.5497925,0.3484523,-0.2848807,0.7036705,5.960464e-08,0.0,0.0,0.0,0.0,-0.1166385,0.8729798,0.3664695,-0.4225476,-0.1786251,0.4034495,0.7916913,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.22979,0.1692367,0.8956524,0.3144588,-0.5522684,0.3450403,-0.2797779,0.7054582,5.960464e-08,0.0,0.0,0.0,0.0,-0.1156766,0.8736098,0.366442,-0.4236038,-0.1786755,0.4047444,0.7904536,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.30571,0.1700943,0.8963057,0.3121167,-0.5578035,0.3362505,-0.2804902,0.7050647,5.960464e-08,0.0,0.0,0.0,0.0,-0.1148554,0.8744869,0.3671311,-0.4283816,-0.1770813,0.3979762,0.7916731,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.36008,0.1693711,0.8975911,0.3104135,-0.5611984,0.3319958,-0.2728545,0.7073794,5.960464e-08,0.0,0.0,0.0,0.0,-0.1147511,0.8746867,0.3670371,-0.4341089,-0.1731783,0.3957035,0.7905552,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.37904,0.1647085,0.9033918,0.3072846,-0.5740645,0.3146215,-0.2433901,0.7156987,5.960464e-08,0.0,0.0,0.0,0.0,-0.1102885,0.881341,0.3647802,-0.4533563,-0.1627796,0.3600312,0.7989671,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.41179,0.1554783,0.9079376,0.3044111,-0.5948559,0.2926174,-0.1992676,0.7216744,5.960464e-08,0.0,0.0,0.0,0.0,-0.1052774,0.8885563,0.3596175,-0.4845991,-0.1507393,0.3191624,0.8003604,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.47303,0.1456552,0.9048725,0.3076119,-0.6462404,0.2064384,-0.07733041,0.7306001,5.960464e-08,0.0,0.0,0.0,0.0,-0.1002552,0.8921479,0.3571018,-0.550709,-0.1022895,0.2512157,0.7893967,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.50518,0.1398573,0.9031192,0.3077997,-0.6683714,0.1688157,-0.005939727,0.7243932,5.960464e-08,0.0,0.0,0.0,0.0,-0.09631671,0.8951456,0.3543463,-0.5836722,-0.0831582,0.2020033,0.7820525,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.54013,0.1329284,0.9016584,0.3074363,-0.6805706,0.1322396,0.05004324,0.7189103,5.960464e-08,0.0,0.0,0.0,0.0,-0.09280162,0.8999279,0.3507188,-0.6104046,-0.06983958,0.1648867,0.7715835,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.57947,0.1328564,0.9027882,0.3057464,-0.6869853,0.104437,0.1017327,0.711895,5.960464e-08,0.0,0.0,0.0,0.0,-0.09032035,0.9012318,0.348745,-0.6309179,-0.05126804,0.135616,0.7621827,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.61606,0.1323418,0.902912,0.3054475,-0.6927393,0.09298769,0.1452287,0.7002672,5.960464e-08,0.0,0.0,0.0,0.0,-0.08829927,0.9015685,0.3449911,-0.6495473,-0.03951856,0.1103592,0.7512307,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.64303,0.1359081,0.904649,0.3043354,-0.6938921,0.0902322,0.1614287,0.6959258,5.960464e-08,0.0,0.0,0.0,0.0,-0.08706419,0.9001834,0.3456131,-0.6550215,-0.02941983,0.1030854,0.747967,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.67439,0.1377274,0.9056969,0.3035146,-0.6926883,0.0915865,0.1591038,0.6974818,5.960464e-08,0.0,0.0,0.0,0.0,-0.08475312,0.899272,0.3451555,-0.6538004,-0.02396405,0.1000134,0.7496454,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.7122,0.1385571,0.9062514,0.3022155,-0.690846,0.09537386,0.1517437,0.7004353,5.960464e-08,0.0,0.0,0.0,0.0,-0.0858897,0.8971624,0.344074,-0.6508747,-0.01947634,0.1072749,0.7513154,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.74604,0.1399508,0.9061567,0.3007962,-0.6892118,0.1014726,0.1417307,0.7032801,5.960464e-08,0.0,0.0,0.0,0.0,-0.08348205,0.894747,0.3426531,-0.6479608,-0.01504142,0.1089033,0.753698,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.78092,0.1392397,0.9054852,0.3002105,-0.6879577,0.1050065,0.1430865,0.7037145,5.960464e-08,0.0,0.0,0.0,0.0,-0.08082419,0.8924703,0.3399999,-0.6510178,-0.01267814,0.1007062,0.7522455,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.81666,0.1377039,0.9042442,0.2984438,-0.6889446,0.101884,0.1519749,0.7013406,5.960464e-08,0.0,0.0,0.0,0.0,-0.08045111,0.8910988,0.3391057,-0.65318,-0.00645993,0.09883246,0.7506973,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.851,0.138694,0.905045,0.2965958,-0.6898594,0.09763157,0.1536894,0.7006722,5.960464e-08,0.0,0.0,0.0,0.0,-0.07990618,0.8903375,0.3390992,-0.6521419,-0.002060784,0.09975117,0.7515028,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.88441,0.1395769,0.9055524,0.2960183,-0.6893739,0.1001205,0.1530761,0.7009331,5.960464e-08,0.0,0.0,0.0,0.0,-0.07945278,0.8897645,0.3388812,-0.6527249,-0.001742444,0.09840716,0.7511745,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.91032,0.1392369,0.9057266,0.2957563,-0.688563,0.1020954,0.1555008,0.7009115,5.960464e-08,0.0,0.0,0.0,0.0,-0.07950012,0.890335,0.3391063,-0.6526136,-0.000105716,0.09699016,0.7514575,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.94282,0.1367207,0.9050032,0.2949809,-0.6892058,0.0991747,0.1648751,0.6985527,5.960464e-08,0.0,0.0,0.0,0.0,-0.07959741,0.891224,0.3387169,-0.653565,0.0007524919,0.09593484,0.7507654,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.97424,0.1359816,0.9054232,0.2937466,-0.6908385,0.09429509,0.1722705,0.6958258,5.960464e-08,0.0,0.0,0.0,0.0,-0.08068795,0.8922041,0.3390951,-0.6535745,0.001118793,0.09785075,0.7505094,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
23.00357,0.1359108,0.9063823,0.2926282,-0.6915587,0.09041881,0.1733643,0.695353,5.960464e-08,0.0,0.0,0.0,0.0,-0.08013552,0.8923846,0.3393973,-0.6548027,0.0003737625,0.09422868,0.7499028,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
23.02832,0.1360077,0.9069482,0.292085,-0.6916947,0.08772701,0.1734529,0.6955404,5.960464e-08,0.0,0.0,0.0,0.0,-0.08033779,0.893122,0.3390211,-0.6568566,0.0002862803,0.08714987,0.7489621,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
